ID1,ID2,EdgeType,Score,Annotation
177,1190,MS1 annotation,1,[M+2H]2+ [M+2H]2+ dm/z=22.014724708686003
179,268,MS1 annotation,6,[M+H]+ [M+H]+ dm/z=36.023346601113303
179,302,MS1 annotation,5,[M+H]+ [M-H-O]+ dm/z=18.013231319354361
179,506,MS1 annotation,5,[M+H]+ [M+H]+ dm/z=18.009564295111204
182,767,MS1 annotation,2,[M+H]+ [M-H-O]+ dm/z=18.009100073727495
182,1032,MS1 annotation,2,[M+H]+ [M-H-O]+ dm/z=18.022940154486889
182,1071,MS1 annotation,2,[M+H]+ [M-H-O]+ dm/z=18.028557140080409
184,244,MS1 annotation,3,[M+2H]2+ [M+2H]2+ dm/z=22.038551643686219
184,304,MS1 annotation,3,[M+2H]2+ [M+5H+N]2+ dm/z=21.993741338089876
191,227,MS1 annotation,2,[M+H+Na]2+ [M+2H]2+ dm/z=2.476695458073436
194,366,MS1 annotation,1,[M+H]+ [M+H]+ dm/z=22.015557244304034
197,248,MS1 annotation,1,[M+Na]+ [M+H]+ dm/z=22.01113700391943
199,727,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=57.915893334999623
200,432,MS1 annotation,3,[M+H]+ [M-H-O]+ dm/z=18.00940559614105
202,232,MS1 annotation,4,[M+2H]2+ [M+2H]2+ dm/z=22.017713883344982
202,381,MS1 annotation,4,[M+2H]2+ [M+2H]2+ dm/z=22.030390480763799
202,591,MS1 annotation,3,[M+2H]2+ [M+2H]2+ dm/z=22.009973178304449
208,243,MS1 annotation,4,[M+2H]2+ [M-H+Na-O]2+ dm/z=1.977402660042969
208,325,MS1 annotation,5,[M+2H]2+ [M+H]+ dm/z=473.266964849748376
208,573,MS1 annotation,5,[M+2H]2+ [M+2H]2+ dm/z=22.040359684272232
208,716,MS1 annotation,4,[M+2H]2+ [M+2Na]2+ dm/z=22.02784640791657
210,309,MS1 annotation,1,[M+Na]+ [M+H]+ dm/z=22.016456815182437
211,225,MS1 annotation,2,[M+5H+N]2+ [M+H]+ dm/z=451.262566074517451
211,415,MS1 annotation,3,[M+5H+N]2+ [M+5H+N]2+ dm/z=22.032145305271456
214,251,MS1 annotation,2,[M+H]+ [M-3H-2O]+ dm/z=21.985966256252766
215,282,MS1 annotation,3,[M+H]+ [M-H-O]+ dm/z=21.983128849140599
215,553,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=21.98927413331586
218,463,MS1 annotation,1,[M+Na]+ [M+Na]+ dm/z=22.015658417812006
218,479,MS1 annotation,1,[M+Na]+ [M+H]+ dm/z=22.004263745631988
220,573,MS1 annotation,4,[M+2H]2+ [M+2H]2+ dm/z=21.978894998950864
220,620,MS1 annotation,4,[M+2H]2+ [M+2H]2+ dm/z=22.033496887262572
221,276,MS1 annotation,5,[M+2Na]2+ [M+2Na]2+ dm/z=22.018415630977188
221,316,MS1 annotation,4,[M+2Na]2+ [M+2H]2+ dm/z=22.004849520763855
223,646,MS1 annotation,1,[M+2Na]2+ [M+2H]2+ dm/z=22.012283594959399
223,673,MS1 annotation,1,[M+2Na]2+ [M+2H]2+ dm/z=22.024771144262104
224,288,MS1 annotation,3,[M+H+Na]2+ [M+2H]2+ dm/z=11.004378742769859
224,303,MS1 annotation,5,[M+H+Na]2+ [M+H+Na]2+ dm/z=11.00626620362118
224,538,MS1 annotation,2,[M+H+Na]2+ [M+2H]2+ dm/z=8.528830044172651
225,607,MS1 annotation,2,[M+H]+ [M+5H+N]2+ dm/z=451.269401509806301
228,251,MS1 annotation,2,[M+H]+ [M-3H-2O]+ dm/z=35.952665868177576
